,Model_Name,Total_Count_of_Actual_Attacks,Total_Count_of_Identified_Attacks,Mean Of PropensityOfAttack (In Seconds),Identified_Attack(in %)
0,iforest_P1_SWAT_Dec2015_Data_model,50762,28415,1.16,55.98
0,iforest_P2_SWAT_Dec2015_Data_model,50762,46117,122.23,90.85
0,iforest_P3_SWAT_Dec2015_Data_model,50762,44823,58.19,88.3
0,iforest_P4_SWAT_Dec2015_Data_model,50762,32976,571.65,64.96
0,iforest_P5_SWAT_Dec2015_Data_model,50762,39916,173.06,78.63
0,iforest_P6_SWAT_Dec2015_Data_model,50762,2419,365.97,4.77
0,mcd_P1_SWAT_Dec2015_Data_model,50762,47598,33.94,93.77
0,mcd_P2_SWAT_Dec2015_Data_model,50762,3728,307.13,7.34
0,mcd_P3_SWAT_Dec2015_Data_model,50762,50393,0.0,99.27
0,mcd_P5_SWAT_Dec2015_Data_model,50762,33343,559.48,65.68
0,mcd_P6_SWAT_Dec2015_Data_model,50762,400,1544.35,0.79
0,lof_P1_SWAT_Dec2015_Data_model,50762,0,1636.48,0.0
0,lof_P2_SWAT_Dec2015_Data_model,50762,106,1615.71,0.21
0,lof_P3_SWAT_Dec2015_Data_model,50762,51,1632.29,0.1
0,lof_P5_SWAT_Dec2015_Data_model,50762,31960,605.42,62.96
0,lof_P6_SWAT_Dec2015_Data_model,50762,5,1625.29,0.01
0,histogram_P1_SWAT_Dec2015_Data_model,50762,47732,24.45,94.03
0,histogram_P2_SWAT_Dec2015_Data_model,50762,44909,187.1,88.47
0,histogram_P3_SWAT_Dec2015_Data_model,50762,49432,13.81,97.38
0,histogram_P5_SWAT_Dec2015_Data_model,50762,34423,490.81,67.81
0,histogram_P6_SWAT_Dec2015_Data_model,50762,502,1543.23,0.99
0,knn_P1_SWAT_Dec2015_Data_model,50762,2650,1523.74,5.22
0,knn_P2_SWAT_Dec2015_Data_model,50762,23325,76.61,45.95
0,knn_P3_SWAT_Dec2015_Data_model,50762,3181,396.68,6.27
0,knn_P5_SWAT_Dec2015_Data_model,50762,38671,380.71,76.18
0,knn_P6_SWAT_Dec2015_Data_model,50762,347,1543.48,0.68
0,svm_P1_SWAT_Dec2015_Data_model,50762,42296,67.19,83.32
0,svm_P2_SWAT_Dec2015_Data_model,50762,49700,20.45,97.91
